action_id,run_id,action_type,status,proposed_epoch,expiration_epoch,bot_recommendation,bot_score,bot_confidence,network_majority,network_agreement,top10_majority,top10_agreement,actual_drep_yes_pct,actual_drep_no_pct,actual_drep_abstain_pct,top10_vote_counts_json,explain_hash,input_hash,snapshot_bundle_hash,soul_commit,resource_registry_commit,anchor_url
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlp2tyw3h6,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlp2tyw3h6-6eec045b31e6,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,141.0,39.0,8.0,{},c7a5b71fea7fdc644550a19c59fc143a2128343cdef6338452eb90649ca12a81,,,,,ipfs://bafkreidy6xsjjpdccodhiurbdcvtcf5tqzkyfgx3ruuhso2ijjuovycuny
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlp5u7pqqr,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlp5u7pqqr-351204f732f8,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,145.0,40.0,15.0,{},8771907828513b9d69543c63c32665504d068e9ce9958b0cf3b3213502f702a2,,,,,ipfs://bafkreidlb2fusg7asmfcnugcrzmfkhk6sb32b4st5ieji2q3oxmbhm6sma
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlp679xfzf,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlp679xfzf-0fd1e95868bd,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,136.0,66.0,21.0,{},f4d7aeb8a2b040516bb6954c8cd011ac4862cfd659043f57073592475ddb6fba,,,,,ipfs://bafkreicewinu7ogkkxho7ubwpi6q4iy2xqs2pv4lhvueyz6qe3rkc2icru
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlp730y0dn,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlp730y0dn-ac24225341bf,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,113.0,37.0,8.0,{},5f0a0ddb2d26771dd5602ba7d691d62edf4fed9dcff075110841a8ade6708de1,,,,,ipfs://bafkreihki45xehzrcyk6e7onyjc3u4mjg3vbd72oi5wfg2h6blemtr65yq
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpcdq823y,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpcdq823y-39ab926a77e5,TreasuryWithdrawals,enacted,570,577,NO,-0.0933,0.6133,YES,diverged,UNKNOWN,unknown,115.0,96.0,12.0,{},b61717d9d4c6af34962e9cb577a63387f3e378448636a41f544d9ad98011614f,,,,,ipfs://bafkreidb56gwlzeuzav2xfubcbqa7txllbl2byiadnlxjdr2dgaqgb7z4m
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpgcp0jyh,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpgcp0jyh-3bac9a3a91e3,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,153.0,13.0,9.0,{},b478916aa821e16a61879f4d08a3d059cfdc5fa391e1fe2c92e7bb8bf3e2f7c7,,,,,ipfs://bafkreigivcba5jtrmzvr4ilvokyyzbryry63cz6ctow7tjmmkjxpvgfbsq
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpjq3z9u5,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpjq3z9u5-2d365f703357,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,124.0,51.0,17.0,{},51b4412e1b7b81c67144707255d2aba2a981a3ce25b47f1b31ec592a8f8f540b,,,,,ipfs://bafkreihhdmx6eumwipv4zlhlrbbkz6uj52y6xpzpjgwfnkzzzamtqgmq4u
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpk0mqrnw,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpk0mqrnw-24135902101c,TreasuryWithdrawals,expired,570,577,YES,0.1467,0.6667,YES,aligned,UNKNOWN,unknown,124.0,81.0,15.0,{},fabdaf6d98ac62aa9f18d15a15888f9f8d9a12365023389f699824e78fa74148,,,,,ipfs://bafkreicek47fmmvljbc2bjosg23x7hj5h7ijg7on447oy5gfuii7opgm6y
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpqx4t762,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpqx4t762-477e8e09e3a5,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,143.0,27.0,6.0,{},ca65802b23d4c0909f6c1c610a4ea214f0aad033fc930c70ccdb16534d55c7a7,,,,,ipfs://bafkreiechnwimuhwdwovwscljcsypzjlidrmktcbcssoovbgwgxkm4g4d4
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpsn5rx0e,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpsn5rx0e-767e5188eeef,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,142.0,34.0,10.0,{},e11ffaec77bfd5c53a2e2eb322bd6ea5a1b51b902b0d055d98a0fe3afea3d68a,,,,,ipfs://bafkreidcvqu57gic4bigicuk6ssiykrkrfzi7c3jlwgiyxuskggqnyvcim
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpuz29v77,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpuz29v77-11a645ff8ddf,TreasuryWithdrawals,expired,570,577,NO,-0.4833,1.0,NO,aligned,UNKNOWN,unknown,93.0,113.0,20.0,{},6411cb7e2068aa5eaf6c9d4be352e6acab07bf4e6c91bebdff669fd69dad9da5,,,,,ipfs://bafkreidccjzvdy7np2uybq22w4n52cqu2qguoaws4o3j3wvu2rk4n27npq
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpvhtd5td,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpvhtd5td-5f0eac16e1ac,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,162.0,44.0,18.0,{},5f164d8a421b9943a9536405ebe96b2a68806e47f3f68fb883161993c512f405,,,,,ipfs://bafkreigltrp3abb6s667vrtnyspriii2j4wg25cieulbn26s3v36d4qsay
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpwywvhcq,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpwywvhcq-4390ed8ffaa9,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,151.0,15.0,6.0,{},4a66dd1e0ccecc4b06ddfe5a4bccb1eb4d7c0b60a69ba7bca44a873e49d98a28,,,,,ipfs://bafkreid2pq5icpp77nfvdvnb5ipy3fqs77tpnls4ngxy6semzkdq7d2z7y
